studentnummer,plaats,naam_vooropleiding,geslacht,,was_aanwezig,advies,aantal_weigeringen,gewogen_gemiddelde,komt_studeren,reden_stoppen,voorkeursopleiding,competenties,capaciteiten,intr_motivatie,extr_motivatie,is_mbo_deficient,Ondernemen in combinatie met studie,Nadere oriëntatie op een Ad-opleiding in ’s-Hertogenbosch,Nadere oriëntatie op een Ad opleiding in Roosendaal,persoonlijk_bijspijker_advies,"Functiebeperking, namelijk",Dyslexie,Topsport in combinatie met studie,Chronische ziekte,Problemen in de persoonlijke sfeer,"Ander onderwerp, namelijk",Financiële problemen in relatie tot studeren,Studiekeuze,Extra gesprek met opleiding,Bijscholing Engels,Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),Aanmelden_voor_verkort_opleidingstraject,Hyperrr - Peermentoring (specifiek door opleiding aangeboden),MBO - Oefenen Nederlandse Taal,MBO - Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),MBO - Peermentoring (ter ondersteuning in het algemeen door hogerejaars student van dezelfde opleiding),Traject opleiding
2000020,ETTEN-LEUR,Applicatieontwikkelaar,m,1998,Ja,2,0,16,Ja,,,7,5,7,6,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000021,GORINCHEM,Applicatieontwikkelaar,m,1997,,1,0,,-,,,6,6,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000022,RIJEN,HAVO NIEUW Economie en Maatschappij,m,2000,Ja,2,0,16,-,Uitgeschreven voor opleiding.,,6,5,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000023,ROOSENDAAL,HAVO NIEUW Natuur en Techniek,m,1999,Ja,2,1,17,Ja,,,7,7,6,5,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Regulier traject
2000024,GEMONDE,HAVO NIEUW Economie en Maatschappij,m,1999,,0,0,,-,Uitgeschreven voor opleiding.,HBO-Rechten,6,3,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000025,WERKENDAM,HAVO NIEUW Natr en Tech+Natr en Gezondh,v,1999,Ja,2,0,18,Ja,,,5,7,7,7,Nee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2000026,DORDRECHT,HAVO NIEUW Natuur en Techniek,m,2000,Ja,2,0,16,Ja,,,5,6,8,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000027,TILBURG,HAVO NIEUW Economie en Maatschappij,m,2000,Ja,1,0,15,-,Uitgeschreven voor opleiding.,,6,6,4,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
2000028,HILVARENBEEK,HAVO NIEUW Natuur en Techniek,m,1999,Ja,1,0,14,Ja,,,6,6,7,7,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
2000029,Kwekwe,Buitenlandse vooropleiding via SL,m,1995,,1,0,,-,Uitgeschreven voor opleiding.,,6,5,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000030,PAPENDRECHT,Mediavormgever,m,1996,,0,0,,-,Uitgeschreven voor opleiding.,,6,5,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000031,DORST,HAVO NIEUW Natuur en Techniek,m,1999,Ja,1,2,12,Ja,,,7,7,8,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000032,BAARLE NASSAU,ICT-beheerder,m,1998,Ja,2,0,18,-,,,6,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000033,TILBURG,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,,1,2,,-,Uitgeschreven voor opleiding.,,5,2,7,9,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000034,MAASSLUIS,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,6,7,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Verkort traject
2000035,BREDA,Applicatieontwikkelaar,m,1995,Ja,2,0,17,Ja,,,5,8,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000036,PUTTERSHOEK,Applicatieontwikkelaar,m,1996,Ja,2,0,17,Ja,,,8,9,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Verkort traject
2000037,BREDA,Applicatieontwikkelaar,m,1997,Ja,2,0,18,Ja,,,7,9,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000038,BERGEN OP ZOOM,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,2,0,18,-,Uitgeschreven voor opleiding.,,6,5,4,7,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Regulier traject
2000039,OOSTERHOUT NB,Applicatieontwikkelaar,m,1993,Ja,0,0,14,Ja,,,6,6,7,5,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000040,RAAMSDONKSVEER,Applicatieontwikkelaar,m,1993,Ja,2,0,18,Ja,,,7,6,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000041,TILBURG,Applicatieontwikkelaar,m,1993,Ja,2,0,18,Ja,,,7,6,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000042,BREDA,Applicatieontwikkelaar,m,1997,Ja,2,0,18,Ja,,,6,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000043,DORDRECHT,Adm Bedrijfsadministrateur,m,1996,Ja,2,0,18,Ja,,,5,6,7,5,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000044,EINDHOVEN,HAVO NIEUW Natuur en Techniek,m,1999,,1,0,,-,Uitgeschreven voor opleiding.,,5,6,8,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000045,IJSSELSTEIN UT,Applicatieontwikkelaar,m,1996,Ja,2,0,17,Ja,,,6,5,8,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000046,TILBURG,HAVO NIEUW Natuur en Techniek,m,1999,Ja,2,0,18,Ja,,,6,7,7,8,Nee,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000047,HELLOUW,HAVO NIEUW Economie en Maatschappij,m,1998,,0,2,,-,Uitgeschreven voor opleiding.,,6,6,4,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000048,WOUWSE PLANTAGE,Applicatieontwikkelaar,m,1997,Ja,2,0,18,Ja,,,6,7,5,5,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000049,BREDA,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,7,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000050,BREDA,HAVO NIEUW Economie en Maatschappij,m,2000,Ja,2,0,15,Ja,,,6,7,4,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000051,RIJEN,Mediadeveloper,v,1996,Ja,2,1,17,Ja,,,6,8,7,7,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000052,ROOSENDAAL,HAVO NIEUW Natuur en Gezondheid,m,2000,Ja,2,0,18,Ja,,,7,9,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000053,DORDRECHT,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,Ja,2,0,15,Ja,,,6,5,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000054,BREDA,HAVO NIEUW Natuur en Gezondheid,m,2000,Ja,2,0,17,Ja,,Informatica,7,6,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000055,EMMEN,Adm Bedrijfsadministrateur,m,1997,Ja,2,0,17,Ja,,,7,7,8,8,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000056,RIDDERKERK,HAVO NIEUW Economie en Maatschappij,m,1997,,0,1,,-,Uitgeschreven voor opleiding.,,5,4,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000057,PRINSENBEEK,HAVO NIEUW Natuur en Techniek,m,1999,Ja,2,0,18,-,Uitgeschreven voor opleiding.,,5,8,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000058,BAVEL,HAVO NIEUW Economie en Maatschappij,m,1998,Ja,2,0,18,Ja,,,6,7,8,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000059,ETTEN-LEUR,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,2,0,18,-,,,6,7,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000060,BREDA,HAVO NIEUW Economie en Maatschappij,m,2000,Ja,2,0,18,Ja,,,7,8,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000061,ROOSENDAAL,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,1,0,16,-,,,6,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000062,BERGEN OP ZOOM,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,6,5,7,6,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000063,BERGEN OP ZOOM,HAVO NIEUW Economie en Maatschappij,v,1998,Ja,0,0,12,-,Uitgeschreven voor opleiding.,Informatica,6,5,8,7,Nee,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Regulier traject
2000064,DEN HOUT NB,Mediadeveloper,m,1997,Ja,2,0,17,Ja,,,7,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000065,ETTEN-LEUR,Applicatieontwikkelaar,m,1997,,1,1,,-,Uitgeschreven voor opleiding.,,6,5,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000066,BAVEL,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,2,0,18,Ja,,,7,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000067,NIEUW VOSSEMEER,HAVO NIEUW Economie en Maatschappij,v,2000,Ja,2,0,16,Ja,,,5,7,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000068,BREDA,MDW M&C Marketing medewerker,m,1993,Ja,2,0,18,Ja,,,8,6,6,6,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000069,ROOSENDAAL,HAVO NIEUW Natuur en Gezondheid,m,1997,Ja,2,0,16,Ja,,,7,6,7,6,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000070,HILVARENBEEK,HAVO NIEUW Natuur en Techniek,m,1999,Ja,1,0,11,Nee,Uitgeschreven voor opleiding.,,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
2000071,TETERINGEN,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,2,0,16,-,,,5,7,5,7,Nee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2000072,SCHIJF,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1997,Ja,2,1,17,Ja,,,4,8,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000073,DONGEN,HAVO NIEUW Natuur en Techniek,m,1999,Ja,2,0,18,-,Uitgeschreven voor opleiding.,,5,5,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000074,SPRUNDEL,Applicatieontwikkelaar,m,1997,Ja,2,0,17,Ja,,,6,7,4,9,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000075,DORDRECHT,Mediadeveloper,m,1997,Ja,2,0,17,Ja,,,8,8,8,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000076,BREDA,Directiesecretaresse/Managementassistent,v,1996,Ja,2,0,14,Ja,,,6,6,5,6,Ja,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Regulier traject
2000077,SLIEDRECHT,Applicatieontwikkelaar,m,1997,,1,0,,-,Uitgeschreven voor opleiding.,,7,4,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000078,SLIEDRECHT,HAVO NIEUW Natuur en Techniek,m,2000,Ja,2,0,17,Ja,,,7,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000079,MADE,HAVO NIEUW Economie en Maatschappij,m,1999,,2,1,,-,,Informatica,6,8,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000080,BREDA,HAVO NIEUW Natuur en Techniek,v,1999,Ja,2,0,18,-,,,7,7,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000081,GORINCHEM,Applicatieontwikkelaar,m,1997,Ja,2,0,18,-,Uitgeschreven voor opleiding.,,5,6,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000082,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1999,Ja,2,0,18,Ja,,,7,7,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000083,ROOSENDAAL,HAVO NIEUW Economie en Maatschappij,m,1998,Ja,1,0,14,Ja,,,3,7,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2000084,BERGEN OP ZOOM,Colloquium Doctum,m,1993,Ja,2,0,15,Ja,,,6,6,9,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
2000085,GIESSENBURG,HAVO NIEUW Natuur en Techniek,m,2000,Ja,2,1,17,Ja,,,7,8,6,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
2000086,Zundert,Buitenlandse vooropleiding via SL,m,1996,,1,0,,-,Uitgeschreven voor opleiding.,,5,6,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000087,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,2000,Ja,1,0,16,Ja,,,6,6,6,6,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000088,SLIEDRECHT,HAVO NIEUW Economie en Maatschappij,m,2000,Ja,2,0,17,-,Uitgeschreven voor opleiding.,,5,5,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000089,PAPENDRECHT,HAVO NIEUW Natuur en Techniek,m,2000,Ja,1,1,16,Ja,,,6,5,5,6,Nee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2000090,BREDA,Applicatieontwikkelaar,m,1995,Ja,2,0,18,Ja,,,8,8,8,8,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000091,THOLEN,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,7,7,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000092,RUCPHEN,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,1,0,16,Ja,,,2,7,4,7,Nee,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-
2000093,BREDA,VWO NIEUW Natr en Tech+Natuur en Gezondh,m,1998,Ja,1,0,15,Ja,,,6,5,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-
2000094,BREDA,Applicatie - en mediaontwikkelaar,m,1999,Ja,1,0,16,-,,,5,6,7,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000095,BREDA,Netwerkbeheerder,m,1995,Ja,2,0,18,Ja,,,7,8,6,6,Nee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000096,BREDA,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,1,0,16,Ja,,,7,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-
2000097,NISPEN,Colloquium Doctum,m,1995,Ja,2,0,17,Ja,,,8,6,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000098,HARDINXVELD-GIESSENDAM,HAVO NIEUW Economie en Maatschappij,m,2000,Ja,2,0,18,Ja,,,7,6,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
2000099,OOSTERHOUT NB,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1999,,1,1,,-,Uitgeschreven voor opleiding.,,6,6,5,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000100,GOIRLE,HAVO NIEUW Natuur en Techniek,m,1999,Ja,1,1,15,-,Uitgeschreven voor opleiding.,,5,7,5,7,Nee,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2000101,SINT WILLEBRORD,Applicatieontwikkelaar,m,1992,,0,0,,-,Uitgeschreven voor opleiding.,,5,5,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000102,HALSTEREN,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,7,6,7,7,Nee,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000103,BREDA,HAVO NIEUW Natuur en Gezondheid,m,1999,,0,1,,-,Uitgeschreven voor opleiding.,Communication & Multimedia Design,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000104,HARDINXVELD GIESSENDAM,Applicatieontwikkelaar,m,1997,Ja,2,0,17,Ja,,,7,6,6,7,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000105,HALSTEREN,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,2,0,18,-,,,6,8,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000106,PRINSENBEEK,Mediadeveloper,m,1998,Ja,2,0,17,Ja,,,5,6,5,9,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000107,TILBURG,HAVO NIEUW Economie en Maatschappij,m,1999,,1,1,,-,Uitgeschreven voor opleiding.,,6,7,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000108,STAVENISSE,HAVO NIEUW Natuur en Gezondheid,m,2000,Ja,1,0,14,Ja,,,5,6,5,8,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000109,BAVEL,Mediadeveloper,m,1997,Ja,2,0,18,Ja,,,6,7,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000110,BREDA,HAVO NIEUW Natuur en Techniek,m,2000,Ja,2,0,17,Ja,,,7,6,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000111,HEERLE,Colloquium Doctum,v,1996,Ja,2,0,18,Ja,,,7,6,7,7,Nee,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-
2000112,MADE,HAVO NIEUW Economie en Maatschappij,m,1999,,2,1,,-,,Informatica,6,6,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000113,HOOGERHEIDE,Applicatieontwikkelaar,m,1996,Ja,2,0,18,Ja,,,2,7,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Verkort traject
2000114,BREDA,VWO NIEUW Econ en Maatsch+Cult & Maatsch,m,1999,Ja,2,0,18,Ja,,,6,6,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000115,OOSTERHOUT NB,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,2,1,18,Ja,,,5,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000116,SLEEUWIJK,Applicatieontwikkelaar,m,1996,Ja,2,0,16,Ja,,,5,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verkort traject
2000117,BERGEN OP ZOOM,VWO NIEUW Natuur en Techniek,m,1998,Ja,2,0,14,Ja,,,6,6,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
